disp_x,disp_y,id,x,y,z,weight_disp_x,weight_disp_y,diff_disp_x,diff_disp_y,weighted_diff_disp,weighted_diff_disp_2noise,weighted_diff_disp_5noise
0.0,-2.316779810044e-06,0,0.0,0.0,0,0.0,1000000000000.0,0.0,7.309449492579973e-08,73094.49492579974,72822.92085832449,73525.31978148225
1.4731474958994e-07,-2.3130898713649e-06,1,2.5e-05,0.0,0,0.0,1000000000000.0,0.0,7.285995928150027e-08,72859.95928150027,72588.30169448812,75493.43095957283
1.3208045474817e-07,-2.2014661081252e-06,2,2.5e-05,5e-05,0,0.0,1000000000000.0,0.0,7.616694088740015e-08,76166.94088740015,76148.75700000652,76892.89955556823
0.0,-2.205122714899e-06,3,0.0,5e-05,0,0.0,1000000000000.0,0.0,7.64134596354001e-08,76413.45963540011,76910.68083496505,76449.83200012526
2.9474968138238e-07,-2.3019907850978e-06,4,5e-05,0.0,0,0.0,1000000000000.0,0.0,7.215831591599965e-08,72158.31591599964,71228.07167195939,69946.08955190546
2.6417103480298e-07,-2.1904659749271e-06,5,5e-05,5e-05,0,0.0,1000000000000.0,0.0,7.542952271759985e-08,75429.52271759984,75172.94756452211,73337.1248174888
4.4242424921273e-07,-2.283393937505e-06,6,7.5e-05,0.0,0,0.0,1000000000000.0,0.0,7.099541352499994e-08,70995.41352499994,71439.84912702597,71016.9102318302
3.9627817223232e-07,-2.1720305293188e-06,7,7.5e-05,5e-05,0,0.0,1000000000000.0,0.0,7.420757011360004e-08,74207.57011360004,74703.37232880098,74586.6340671963
5.9045645499164e-07,-2.2571488943278e-06,8,0.0001,0.0,0,0.0,1000000000000.0,0.0,6.938086200019985e-08,69380.86200019985,69128.11538626878,71657.70845979573
5.2840069460337e-07,-2.1460038962253e-06,9,0.0001,5e-05,0,0.0,1000000000000.0,0.0,7.251152988749989e-08,72511.52988749988,73116.8864038579,73320.07059635811
7.3896213240851e-07,-2.2230390360095e-06,10,0.000125,0.0,0,0.0,1000000000000.0,0.0,6.732783276259978e-08,67327.83276259978,66670.63239311958,70858.86500141807
6.6052544793751e-07,-2.1121614944734e-06,11,0.000125,5e-05,0,0.0,1000000000000.0,0.0,7.035569724839994e-08,70355.69724839994,70414.61726201889,72584.92636883211
8.8805423441933e-07,-2.1807749124075e-06,12,0.00015,0.0,0,0.0,1000000000000.0,0.0,6.485279317670015e-08,64852.79317670015,64709.468900832886,63512.10929496809
7.9262214181054e-07,-2.0702029926895e-06,13,0.00015,5e-05,0,0.0,1000000000000.0,0.0,6.775790603809996e-08,67757.90603809996,67276.02106060399,67695.39078658377
1.0378421084149e-06,-2.1299846803574e-06,14,0.000175,0.0,0,0.0,1000000000000.0,0.0,6.197518786830013e-08,61975.187868300134,61892.87934751865,64837.93581028699
9.2463699445993e-07,-2.0197421504331e-06,15,0.000175,5e-05,0,0.0,1000000000000.0,0.0,6.47391582169001e-08,64739.1582169001,65618.36911952477,65795.77867160944
1.188430715203e-06,-2.0702006283348e-06,16,0.0002,0.0,0,0.0,1000000000000.0,0.0,5.8717081911999936e-08,58717.081911999936,57219.29220562464,58146.8034049471
1.0564845824755e-06,-1.9602924769548e-06,17,0.0002,5e-05,0,0.0,1000000000000.0,0.0,6.132321071360013e-08,61323.21071360013,62574.532021956475,62762.31561460349
1.3399196852772e-06,-2.0008402324279e-06,18,0.000225,0.0,0,0.0,1000000000000.0,0.0,5.510278203519998e-08,55102.78203519998,55064.57741721633,54954.008750961904
1.1880370369862e-06,-1.8912470601513e-06,19,0.000225,5e-05,0,0.0,1000000000000.0,0.0,5.753613912089997e-08,57536.13912089997,56741.76508277434,58886.938447383414
1.4924019602005e-06,-1.921179273807e-06,20,0.00025,0.0,0,0.0,1000000000000.0,0.0,5.1158452185200034e-08,51158.45218520003,50682.50789616286,52353.04849512813
1.3191093468233e-06,-1.8118500025665e-06,21,0.00025,5e-05,0,0.0,1000000000000.0,0.0,5.340589776670002e-08,53405.897766700014,53680.60165868846,53513.695362053426
1.645961424165e-06,-1.8303129957567e-06,22,0.000275,0.0,0,0.0,1000000000000.0,0.0,4.691173901040013e-08,46911.73901040013,45627.060296988784,51006.46301438326
1.4494390132824e-06,-1.7211554189844e-06,23,0.000275,5e-05,0,0.0,1000000000000.0,0.0,4.8961894644599826e-08,48961.89464459983,47873.975486701,48179.87716771453
